Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
15431,0.71,Good,H,SI1,63.5,57.0,5.63,5.67,3.59,2096
818,1.01,Very Good,D,VS2,63.1,58.0,6.34,6.38,4.01,7448
16970,0.5,Very Good,E,SI1,63.0,58.0,5.04,5.08,3.19,1316
24840,0.34,Very Good,G,VVS2,62.3,59.0,4.45,4.48,2.78,740
11201,1.01,Premium,E,VS2,59.2,59.0,6.67,6.6,3.93,7287
26216,1.7,Premium,F,SI1,62.3,58.0,7.63,7.59,4.74,13766
20355,1.09,Very Good,I,VS2,62.0,56.0,6.57,6.59,4.08,4959
19660,1.57,Very Good,H,VS1,62.8,60.0,7.36,7.44,4.65,11605
15836,0.71,Ideal,H,VS2,61.8,55.0,5.73,5.75,3.55,3080
14389,0.23,Ideal,H,VVS1,61.1,55.0,3.98,4.01,2.44,484
1887,0.45,Very Good,E,VS2,61.8,58.0,4.9,4.94,3.04,1129
26731,0.3,Ideal,H,VS1,61.3,56.0,4.31,4.33,2.65,526
2185,0.59,Very Good,G,VVS1,61.5,55.0,5.4,5.43,3.33,2256
10868,0.41,Ideal,J,VS1,61.3,57.0,4.81,4.84,2.96,648
3553,1.85,Very Good,H,I1,63.3,56.0,7.8,7.75,4.92,5688
12363,0.41,Very Good,F,SI1,63.3,57.0,4.72,4.69,2.98,969
8408,1.02,Very Good,E,SI1,60.5,63.0,6.54,6.48,3.94,4901
3508,0.5,Very Good,F,SI1,61.4,57.0,5.08,5.12,3.13,1295
6749,0.72,Ideal,D,SI1,61.5,54.0,5.77,5.8,3.56,2804
1779,1.58,Very Good,I,SI1,63.1,55.0,7.42,7.45,4.69,8782
21597,1.51,Very Good,J,VS2,60.2,59.0,7.35,7.36,4.43,7418
19235,0.3,Premium,D,VS2,62.9,61.0,4.29,4.27,2.69,911
3316,0.78,Fair,H,VS2,54.7,67.0,6.25,6.15,3.4,2691
1781,0.83,Very Good,F,SI1,62.1,58.0,5.98,6.06,3.74,3010
15373,2.01,Ideal,H,SI1,59.3,58.0,8.25,8.19,4.87,17403
210,0.33,Ideal,F,VS2,61.3,56.0,4.43,4.47,2.73,666
6581,0.31,Ideal,E,IF,62.5,56.0,4.34,4.37,2.72,1214
21254,1.01,Very Good,F,VVS2,63.0,56.0,6.34,6.4,4.01,8265
23413,1.24,Ideal,G,SI1,60.5,60.0,6.97,6.91,4.2,6994
14043,0.7,Very Good,F,SI1,62.8,57.0,5.61,5.66,3.54,2250
24564,1.09,Good,F,SI2,60.8,61.4,6.59,6.64,4.02,5167
10416,0.39,Premium,H,VVS2,62.1,58.0,4.65,4.63,2.88,1097
21436,1.62,Very Good,H,SI1,62.8,59.0,7.4,7.45,4.66,10521
2829,1.1,Very Good,D,SI2,61.6,57.0,6.61,6.67,4.09,5226
9311,0.4,Good,E,SI1,63.5,56.0,4.67,4.72,2.98,737
10557,0.41,Ideal,G,VS2,62.2,57.0,4.71,4.74,2.94,827
21823,0.39,Good,J,VS1,63.5,58.0,4.59,4.64,2.93,616
15562,1.02,Good,D,SI1,56.9,62.0,6.64,6.69,3.79,4948
14172,1.06,Ideal,F,VVS2,62.1,57.0,6.5,6.54,4.05,8954
6884,0.44,Premium,E,VVS2,60.0,59.0,4.99,4.95,2.98,1334
3488,1.5,Premium,E,VS2,59.5,58.0,7.53,7.46,4.46,14386
23230,0.32,Ideal,I,VVS1,62.4,55.0,4.38,4.34,2.72,756
20748,0.72,Very Good,J,SI1,63.0,57.0,5.69,5.74,3.6,1966
15062,0.62,Premium,D,SI2,62.0,59.0,5.48,5.45,3.39,1777
11000,1.26,Very Good,H,VS2,63.8,52.0,6.89,6.84,4.38,7567
5368,0.75,Very Good,G,SI1,,55.0,5.81,5.85,3.63,2617
19759,2.6,Fair,G,SI2,64.6,57.0,8.6,8.55,5.54,17027
16222,0.3,Ideal,D,SI1,61.7,56.0,4.31,4.35,2.67,552
3806,0.32,Premium,G,VS2,60.1,61.0,4.44,4.41,2.66,672
3879,0.59,Very Good,I,VVS1,62.8,58.0,5.3,5.34,3.34,1709
11294,0.33,Ideal,H,SI1,60.9,56.0,4.5,4.53,2.75,511
17010,1.0,Very Good,I,VS1,63.3,55.0,6.39,6.34,4.03,4641
5787,0.32,Premium,D,VS2,61.7,59.0,4.43,4.38,2.72,972
25784,0.5,Fair,D,SI1,65.7,56.0,5.01,4.97,3.28,1323
17406,1.22,Premium,I,SI2,61.5,61.0,6.89,6.83,4.22,4735
26019,1.53,Very Good,J,VS2,62.9,59.0,7.31,7.34,4.61,7418
13334,0.39,Very Good,F,VVS2,63.5,58.0,4.65,4.61,2.94,1058
9071,0.41,Very Good,H,IF,62.9,54.0,4.71,4.74,2.97,1187
10385,0.7,Very Good,E,SI1,63.9,57.0,5.55,5.66,3.58,3173
3297,0.24,Very Good,F,VS1,62.5,58.0,3.95,3.96,2.47,419
7715,1.09,Ideal,F,SI1,62.0,56.0,6.59,6.61,4.09,5816
17602,0.23,Very Good,F,VVS2,60.3,58.0,3.99,4.03,2.42,530
6649,0.36,Ideal,G,VS1,61.1,55.0,4.63,4.66,2.84,746
3715,0.55,Ideal,H,SI1,60.8,56.0,5.3,5.33,3.23,1584
23208,0.73,Ideal,E,VVS1,62.0,56.0,5.75,5.79,3.58,4830
976,1.0,Very Good,F,SI2,63.4,55.0,6.3,6.38,4.02,4033
25933,0.61,Ideal,G,VS1,61.6,55.0,5.45,5.49,3.37,2166
7896,0.35,Ideal,H,VS2,61.2,56.0,4.53,4.56,2.78,571
5808,0.34,Ideal,E,SI1,62.0,57.0,4.46,4.48,2.77,596
11624,1.2,Very Good,F,SI1,61.9,58.0,6.75,6.82,4.2,6985
23909,0.41,Premium,I,VVS2,62.1,58.0,4.78,4.76,2.96,1061
5882,1.03,Very Good,D,VS1,59.6,61.0,6.57,6.62,3.93,6848
10103,1.01,Fair,E,SI2,64.6,59.0,6.22,6.18,4.01,3294
5620,0.24,Ideal,F,VVS2,60.7,56.0,3.98,4.03,2.43,552
19760,1.53,Premium,H,VVS2,60.4,60.0,7.41,7.46,4.49,11982
20153,0.92,Very Good,E,SI2,63.2,54.0,6.29,6.25,3.96,3679
5610,1.55,Premium,I,SI1,62.5,60.0,7.35,7.33,4.59,9027
12061,0.73,Ideal,E,SI1,60.1,56.0,5.91,5.87,3.54,2661
14459,0.98,Ideal,G,SI2,62.9,57.0,6.33,6.29,3.97,4116
4505,1.62,Ideal,J,SI1,62.4,53.2,7.47,7.51,4.68,8075
15507,0.59,Very Good,I,SI1,61.7,55.2,5.39,5.41,3.33,1257
6023,2.2,Ideal,J,VS2,61.6,57.0,8.34,8.39,5.15,15384
6474,0.41,Premium,G,VS2,61.3,57.0,4.8,4.76,2.93,1061
9921,1.59,Very Good,H,VVS2,63.0,58.0,7.43,7.48,4.7,12297
20456,0.4,Premium,F,VVS2,60.7,58.0,4.7,4.75,2.87,1088
746,0.51,Good,H,SI2,63.7,61.0,4.99,4.96,3.17,964
11213,0.81,Premium,E,SI2,60.1,59.0,6.09,6.03,3.65,2368
10174,0.5,Premium,D,SI1,62.3,58.0,5.07,5.04,3.15,1654
15403,0.92,Premium,E,SI1,62.2,58.0,6.23,6.18,3.86,4482
16762,0.7,Fair,H,VS2,65.0,56.0,5.6,5.5,3.61,2268
1990,0.32,Ideal,I,VS1,62.3,57.0,4.42,4.37,2.74,648
1964,0.51,Premium,F,SI1,62.7,62.0,5.09,4.96,3.15,3360
17926,0.38,Ideal,F,VS1,60.9,55.0,4.69,4.73,2.87,891
2602,1.11,Ideal,D,VVS2,62.3,56.0,6.59,6.64,4.12,12390
11325,0.7,Very Good,E,VS1,62.4,56.0,5.64,5.7,3.54,2854
9117,1.02,Ideal,E,SI2,61.6,55.0,6.46,6.52,4.0,4824
19343,0.91,Premium,G,VVS2,61.8,58.0,6.16,6.24,3.83,5259
19787,1.23,Premium,I,SI2,62.5,60.0,6.82,6.75,4.24,5269
17500,0.3,Ideal,D,VVS2,60.7,58.0,4.3,4.33,2.62,814
19832,0.35,Very Good,G,IF,62.1,56.0,4.54,4.57,2.82,833
15799,0.9,Very Good,I,VS2,58.4,62.0,6.29,6.35,3.69,3334
25047,1.02,Very Good,G,VS2,63.4,59.0,6.32,6.3,4.0,6169
15192,1.01,Premium,H,SI1,62.3,58.0,6.44,6.4,4.0,5090
1080,0.4,Good,J,VS2,64.0,57.0,4.67,4.7,3.0,591
16007,1.02,Ideal,G,VS1,62.1,58.0,6.4,6.45,3.99,6857
12131,2.03,Very Good,E,SI2,63.1,56.0,8.01,7.99,5.05,14646
19446,2.0,Good,F,SI1,62.8,62.0,8.0,8.03,5.03,18069
12620,1.03,Ideal,H,SI2,61.1,57.0,6.48,6.52,3.97,4325
12496,0.33,Ideal,H,VVS2,60.9,57.0,4.48,4.52,2.74,666
919,0.32,Very Good,G,VVS2,62.0,55.0,4.39,4.42,2.73,730
20307,0.83,Ideal,H,VS2,61.6,55.0,6.04,6.08,3.73,3171
2591,2.0,Very Good,G,SI1,63.5,56.0,7.9,7.97,5.04,18818
21948,1.11,Good,D,SI2,60.1,63.0,6.68,6.7,4.02,4877
6609,1.15,Ideal,J,VS1,61.5,55.0,6.81,6.76,4.17,5152
15463,2.03,Premium,E,SI2,61.5,59.0,8.24,8.16,5.04,18477
22376,0.38,Ideal,F,VVS1,61.0,57.0,4.66,4.69,2.85,1070
17483,0.71,Premium,E,SI1,60.3,58.0,5.78,5.76,3.48,2479
2012,0.82,Premium,F,SI2,59.5,62.0,6.13,6.08,3.63,2688
1816,1.02,Good,J,SI2,63.1,58.0,6.34,6.38,4.01,3298
5704,0.71,Premium,F,SI1,62.7,57.0,5.68,5.65,3.55,2633
20505,0.91,Good,H,SI1,63.8,56.0,6.09,6.04,3.87,3323
13569,0.41,Ideal,G,VS2,62.7,56.0,4.77,4.74,2.98,1061
20511,2.28,Premium,H,SI2,62.1,59.0,8.4,8.44,5.23,17892
12515,0.96,Premium,H,VS2,61.7,55.0,6.36,6.31,3.91,4529
10194,1.0,Premium,E,SI2,62.7,58.0,6.41,6.34,4.0,4579
3532,0.66,Ideal,I,SI1,61.2,57.0,5.6,5.64,3.44,1712
26715,1.54,Premium,G,SI1,60.5,61.0,7.47,7.44,4.51,11574
19687,0.43,Premium,D,SI2,60.7,58.0,4.85,4.91,2.96,716
20417,0.33,Premium,G,VVS2,61.0,58.0,4.48,4.44,2.72,965
2017,0.31,Very Good,E,SI1,63.4,55.0,4.33,4.31,2.74,698
10434,0.21,Very Good,E,VS2,63.2,54.0,3.82,3.78,2.4,386
14704,0.51,Ideal,E,SI1,61.5,55.0,5.18,5.15,3.18,1649
8319,0.52,Ideal,I,SI1,61.8,56.0,5.15,5.18,3.19,1075
10265,0.58,Ideal,F,VVS2,62.2,56.0,5.32,5.35,3.32,2509
10685,1.5,Premium,I,VS1,62.7,59.0,7.25,7.3,4.56,9900
3135,2.0,Good,J,SI1,64.1,58.0,7.85,7.79,5.01,9193
10828,2.2,Premium,H,SI1,61.2,59.0,8.42,8.37,0.0,17265
1839,1.07,Ideal,F,SI2,61.5,57.0,6.57,6.6,4.05,4678
23421,1.17,Ideal,I,SI2,61.8,54.0,6.78,6.82,4.2,4999
12824,0.31,Ideal,G,VVS1,62.6,53.0,4.37,4.38,2.74,789
1498,1.05,Fair,J,SI2,65.8,59.0,6.41,6.27,4.18,2789
10927,0.9,Good,G,SI2,63.8,56.0,6.16,6.13,3.92,3246
13573,1.25,Premium,I,VS2,61.0,59.0,6.98,6.89,4.23,6084
18298,0.3,Ideal,H,VVS2,62.5,54.0,4.3,4.3,2.7,567
24138,1.04,Very Good,G,SI2,60.9,58.0,6.52,6.58,3.99,4200
22611,2.06,Ideal,I,SI2,62.3,57.0,8.2,8.12,5.09,14428
15268,0.7,Ideal,E,VS2,61.7,55.0,5.7,5.74,3.53,3612
15121,2.18,Premium,F,SI1,61.2,60.0,8.38,8.3,5.1,18717
1425,0.31,Ideal,F,SI1,62.9,57.0,4.34,4.31,2.72,663
24500,1.87,Premium,I,SI2,60.3,61.0,7.95,7.91,4.78,11105
9976,0.55,Very Good,E,VS2,61.6,60.0,5.23,5.27,3.23,1719
19922,0.84,Ideal,J,VS2,61.1,57.0,6.09,6.12,3.73,2709
24847,0.7,Ideal,H,SI1,61.4,57.0,5.73,5.7,3.51,2383
19803,0.4,Premium,D,SI2,62.1,60.0,4.75,4.69,2.93,855
21233,0.9,Premium,I,VS2,58.7,60.0,6.35,6.28,3.7,2923
1172,0.37,Ideal,E,VVS2,62.2,56.0,4.6,4.63,2.87,844
8634,0.5,Very Good,F,SI1,63.2,57.0,5.03,5.06,3.19,1220
25890,0.53,Premium,E,SI1,61.9,56.0,5.22,5.19,3.22,1607
24339,0.42,Ideal,G,VS1,62.5,54.0,4.84,4.79,3.01,984
14371,0.31,Ideal,D,SI1,61.8,56.0,4.34,4.37,2.69,571
17363,0.31,Very Good,G,VVS2,62.1,56.0,4.27,4.33,2.67,707
19712,0.59,Ideal,D,SI1,62.1,56.0,5.36,5.4,3.34,1684
23040,1.51,Premium,G,VS2,60.8,60.0,7.42,7.38,4.5,13157
22987,0.3,Very Good,D,SI1,63.1,56.0,4.28,4.24,2.69,662
20328,1.25,Premium,I,VS2,61.0,59.0,6.89,6.98,4.23,5975
26477,0.5,Premium,F,VS1,61.3,59.0,5.15,5.09,3.14,1838
5195,1.19,Ideal,D,SI1,62.0,57.0,6.77,6.82,4.21,6857
2294,1.05,Ideal,F,VVS2,62.1,54.0,6.52,6.55,4.06,9092
19916,1.81,Premium,G,SI1,62.3,58.0,7.75,7.68,4.81,11854
11550,2.01,Premium,J,VS2,58.6,61.0,8.18,8.14,4.78,10401
7613,0.3,Ideal,E,SI1,62.3,56.0,4.29,4.32,2.68,499
20233,0.7,Very Good,G,VS2,63.3,56.0,5.63,5.59,3.55,2657
24406,0.33,Ideal,F,VS2,62.3,56.0,4.41,4.45,2.76,666
22394,0.34,Premium,G,VS2,61.2,59.0,4.43,4.49,2.73,596
16864,0.27,Ideal,E,VVS1,61.7,57.0,4.16,4.14,2.56,846
23172,0.77,Ideal,D,SI2,61.5,55.0,5.9,5.93,3.64,2885
17641,1.57,Premium,G,VS2,62.7,60.0,7.46,7.38,4.65,11711
19306,0.48,Ideal,G,SI1,61.6,55.0,5.06,5.1,3.13,1145
25073,0.3,Ideal,E,I1,60.3,57.0,4.39,4.36,2.64,495
804,1.01,Good,E,SI1,63.5,58.0,6.28,6.35,4.01,4546
18854,0.32,Ideal,D,SI2,59.5,57.0,4.5,4.47,2.67,612
25860,0.52,Very Good,F,VVS1,62.0,57.0,5.11,5.15,3.18,2314
16136,0.31,Ideal,E,SI2,61.7,56.0,4.4,4.35,2.7,558
20374,0.6,Premium,E,VVS2,62.4,61.0,5.36,5.31,3.33,2393
20547,1.11,Premium,I,SI1,61.9,58.0,6.63,6.61,4.1,3978
15297,0.77,Very Good,J,SI2,61.2,56.0,5.91,5.96,3.63,2001
11506,0.73,Very Good,E,SI1,61.6,59.0,5.77,5.78,3.56,2760
7009,0.41,Ideal,G,VS2,62.5,56.0,4.75,4.72,2.96,1061
10189,0.73,Ideal,D,SI1,61.3,57.0,5.81,5.83,3.57,3615
21954,1.37,Ideal,G,IF,62.3,54.0,7.11,7.15,4.43,13439
17079,0.81,Ideal,H,SI1,62.1,54.0,6.0,6.02,3.73,2435
4813,0.33,Premium,H,VS2,61.4,58.0,4.49,4.44,2.74,668
8745,0.97,Premium,F,SI1,62.7,59.0,6.31,6.28,3.95,4481
2032,0.74,Ideal,E,VS2,59.5,57.0,5.92,5.94,3.53,3189
15164,0.32,Ideal,H,VS2,62.0,55.0,4.38,4.4,2.72,505
